subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
5671,36308.2959254257,3575.55373293266,-5083918761984,21571.6828,4440.11738494014,-9845534097408,570.520809650421,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5721,39141.4398096396,3571.10810481715,-5107754729472,21571.6828,4440.65625835655,-9865710796800,574.325213193893,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5771,39141.4398096396,3566.2375538483,-5126028001280,20734.3379050201,4437.05220304844,-9892293246976,577.98765206337,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5821,39141.4398096396,3561.0029668356,-5144049352704,20734.33955,4428.5348894291,-9941092925440,581.781101703644,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5871,39141.4398096396,3554.29835369257,-5188410671104,20734.33955,4411.44759477146,-10059842060288,585.59908413887,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5921,36308.2959254257,3553.36450657995,-5226743463936,20734.33955,4392.19554924842,-10215682473984,589.392283201218,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
5971,39141.4398096396,3551.05149427492,-5283060121600,20734.33955,4380.03038878601,-10352303538176,593.253032922745,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6021,39141.4398096396,3545.24600241081,-5356659671040,20734.33955,4382.9108466238,-10428713271296,597.185930252075,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6071,36308.2959254258,3538.59232077193,-5421979402240,21012.7149,4381.92066173081,-10525562896384,601.059492588043,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6073,36308.2959254257,3538.21265303756,-5424573054976,21012.7151513767,4381.68955468796,-10528419217408,603.221032619476,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6123,36308.2959254257,3536.06764241329,-5477899173888,21571.6925601512,4364.82615200814,-10668540428288,607.0227663517,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6173,36308.2959254258,3533.46677573812,-5532024307712,21571.6828,4360.91347177713,-10750306287616,610.931832790375,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6223,36308.2959254257,3530.26489067715,-5568981893120,21571.6828,4365.2011805326,-10779392737280,614.815098047257,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6273,39141.4398096396,3525.85480229329,-5592833589248,21012.7149,4365.74545598456,-10799556853760,618.521727085114,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6323,39141.4398096396,3521.00035212107,-5611108696064,20734.33955,4362.15829413975,-10826160275456,622.108848571777,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6373,39141.4398096396,3515.78938453299,-5629121396736,20734.33955,4353.70788364367,-10874946322432,625.835434913635,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6423,39141.4398096396,3509.15813966829,-5673454927872,20734.33955,4336.81792548209,-10993638834176,629.622972011566,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6473,36308.2959254257,3508.27781413855,-5711767535616,20734.33955,4317.82418491911,-11149400604672,633.474759340286,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6523,39141.4398096396,3506.05526067879,-5768104640512,20734.339548875,4305.88395213846,-11286018523136,637.281780481339,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6573,39141.4398096396,3500.38267363142,-5841701306368,20734.3392050424,4308.85808425758,-11362417770496,641.079150915146,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
6623,36308.2959254258,3493.86744206438,-5906906480640,21012.7149,4308.00098672066,-11459177218048,644.911809921265,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1,160222.365012209,4026.93780428371,-78024052736,254304.55825,5361.68206321434,99427033088,2.4574933052063,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",26061.6062765121,TRUE
51,50811.5446851205,3993.76564848447,-601717538816,35868.9224,5147.28503718319,-1502408343552,6.746737241745,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",26061.6062765121,TRUE
